First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
William,Decosta,*,*,62.58,39.34,*,*,*,*,*,*,*,101.92
Max,Aronow,*,*,*,100.00,*,*,*,*,*,*,*,100.00
Joseph,Carpenter,*,100.00,*,*,*,*,*,*,*,*,*,100.00
Patrick,Diamond,*,*,100.00,*,*,*,*,*,*,*,*,100.00
Ross,Hanson,*,*,*,*,*,*,*,100.00,*,*,*,100.00
Tremearne,Hotz,*,*,*,*,*,*,*,*,*,*,100.00,100.00
Justin,Kousky,*,*,*,*,*,*,*,*,*,100.00,*,100.00
Jon-Paul,Mandelburg,*,*,*,*,*,100,*,*,*,*,*,100.00
Pearson,Davis,*,*,98.76,*,*,*,*,*,*,*,*,98.76
Steven,Starke,*,*,*,*,*,*,*,98.07,*,*,*,98.07
Samuel,Alexander,*,*,*,*,*,97.49,*,*,*,*,*,97.49
Michael,Gaughan,*,*,*,*,*,*,*,*,*,*,97.11,97.11
Devin,Pray,*,*,*,*,*,*,*,*,*,*,97.05,97.05
Steven,Madamba,*,*,*,*,*,*,*,*,*,*,96.68,96.68
Logan,Senrud,*,*,*,95.75,*,*,*,*,*,*,*,95.75
Shepard,Livingston,*,*,*,*,95.69,*,*,*,*,*,*,95.69
Ben,Quatromoni,*,95.59,*,*,*,*,*,*,*,*,*,95.59
Stephen,Cuddy,*,*,*,*,*,*,*,*,48.32,46.88,*,95.20
Chris,fox,*,*,*,*,*,*,*,95.05,*,*,*,95.05
Matt,Boudreau,*,*,95.03,*,*,*,*,*,*,*,*,95.03
Andrew,Petrulis,51.02,*,*,*,*,*,43.62,*,*,*,*,94.64
Jeff,Walker,*,*,*,*,93.33,*,*,*,*,*,*,93.33
Frank,Cervo,*,*,93.17,*,*,*,*,*,*,*,*,93.17
Jason,Pontz,47.38,*,*,45.03,*,*,*,*,*,*,*,92.41
Brendon,Vanvlack,92.38,*,*,*,*,*,*,*,*,*,*,92.38
Godfrey,Berger,*,*,*,*,*,*,*,*,92.10,*,*,92.10
Brett,Stoeffler,*,*,*,*,*,91.80,*,*,*,*,*,91.80
Rocco,Botto,*,*,*,*,*,90.93,*,*,*,*,*,90.93
Aj,Fournier,90.51,*,*,*,*,*,*,*,*,*,*,90.51
Laurence,Lang,*,*,*,*,*,*,90.49,*,*,*,*,90.49
Miles,Aronow,*,*,*,90.35,*,*,*,*,*,*,*,90.35
Brian,Rusiecki,*,89.83,*,*,*,*,*,*,*,*,*,89.83
Ryan,Brown,*,*,*,*,*,*,*,*,*,89.75,*,89.75
Doug,Litowitz,*,*,89.31,*,*,*,*,*,*,*,*,89.31
Lee,Davis,*,*,*,*,*,*,*,*,*,89.18,*,89.18
David,Goodrich,*,*,*,*,89.05,*,*,*,*,*,*,89.05
Arthur,Illidge,*,*,*,*,*,89.00,*,*,*,*,*,89.00
Joshua,Villeneuve,*,*,*,*,*,88.98,*,*,*,*,*,88.98
Andris,Briga,*,*,*,*,*,*,*,*,*,88.47,*,88.47
Peter,Schouw,88.40,*,*,*,*,*,*,*,*,*,*,88.40
Brian,Murray,*,*,*,87.99,*,*,*,*,*,*,*,87.99
Jeff,Hattem,*,43.81,*,44.12,*,*,*,*,*,*,*,87.93
Suresh,Jatti,*,*,*,*,87.44,*,*,*,*,*,*,87.44
Kellen,Johnson,*,*,*,*,87.39,*,*,*,*,*,*,87.39
Timothy,Plaza,*,*,87.18,*,*,*,*,*,*,*,*,87.18
Christopher,Ouellette,*,*,87.16,*,*,*,*,*,*,*,*,87.16
Matthew,Lepage,*,87.07,*,*,*,*,*,*,*,*,*,87.07
Rick,Canavan,*,*,86.76,*,*,*,*,*,*,*,*,86.76
Ryan,Hall,*,*,*,*,*,*,86.66,*,*,*,*,86.66
Songdong,Tian,*,43.69,*,42.46,*,*,*,*,*,*,*,86.15
Andrew,Nigro,*,*,*,*,85.68,*,*,*,*,*,*,85.68
Liam,McLoughlin,*,*,*,*,85.42,*,*,*,*,*,*,85.42
Adam,Warren,*,*,85.37,*,*,*,*,*,*,*,*,85.37
Tomasz,Wawrzyniak,*,*,*,*,*,*,85.30,*,*,*,*,85.30
Brian,Shafer,*,*,*,*,*,*,*,*,*,*,85.03,85.03
Jeffrey,Gibbs,*,*,84.96,*,*,*,*,*,*,*,*,84.96
Oliver,Collins,*,*,*,*,*,*,*,84.93,*,*,*,84.93
Darryl,Whitney,84.93,*,*,*,*,*,*,*,*,*,*,84.93
Quadry,Anderson,*,*,84.63,*,*,*,*,*,*,*,*,84.63
Jake,Bauman,*,*,*,*,*,*,84.54,*,*,*,*,84.54
Michael,Yanchuk,*,*,*,*,*,*,*,*,84.52,*,*,84.52
Scott,Smith,*,*,84.44,*,*,*,*,*,*,*,*,84.44
Kevin,Crowley,*,*,84.39,*,*,*,*,*,*,*,*,84.39
Trevor,Maheu,*,*,*,*,84.26,*,*,*,*,*,*,84.26
Alexander,Evans,*,*,*,*,*,*,*,*,*,*,83.95,83.95
Scott,Hines,*,*,*,*,*,*,*,83.44,*,*,*,83.44
Austin,Frank,83.28,*,*,*,*,*,*,*,*,*,*,83.28
Keith,Loveland,*,*,83.13,*,*,*,*,*,*,*,*,83.13
Jason,DeJoannis,*,*,*,*,*,*,*,*,83.03,*,*,83.03
Andrew,Celinski,*,*,*,*,*,*,*,82.94,*,*,*,82.94
Billy,Barone,*,*,*,*,*,82.89,*,*,*,*,*,82.89
Ellis,Walker,*,*,82.73,*,*,*,*,*,*,*,*,82.73
Matthew,Kellogg,*,*,82.65,*,*,*,*,*,*,*,*,82.65
Edward,Rudman,42.08,*,*,40.46,*,*,*,*,*,*,*,82.54
Jason,Sanchez,*,*,*,*,*,*,*,*,*,*,82.44,82.44
Jason,Kudron,82.36,*,*,*,*,*,*,*,*,*,*,82.36
Alex,Smith,*,82.30,*,*,*,*,*,*,*,*,*,82.30
Neal,Leibowitz,*,*,*,*,81.97,*,*,*,*,*,*,81.97
Ivan,Sokolov,*,*,43.61,*,*,38.24,*,*,*,*,*,81.85
Brian,Scully,*,*,*,81.69,*,*,*,*,*,*,*,81.69
Bruce,Christenson,*,*,*,*,*,81.42,*,*,*,*,*,81.42
Jeremy,Beebe,81.27,*,*,*,*,*,*,*,*,*,*,81.27
Andrew,Horn,*,*,*,*,*,*,*,*,*,*,81.23,81.23
Ryan,Boutin,*,*,*,*,81.18,*,*,*,*,*,*,81.18
Josh,Gaetjen,*,*,*,*,*,*,*,*,*,81.15,*,81.15
Richard,Lindahl,*,*,*,*,80.49,*,*,*,*,*,*,80.49
Ryan,Pfenning,*,*,*,*,*,*,*,*,80.37,*,*,80.37
Ryan,Luby,*,*,80.25,*,*,*,*,*,*,*,*,80.25
Matthew,Baker,*,*,79.87,*,*,*,*,*,*,*,*,79.87
David,Howland,*,*,*,*,*,*,*,*,*,*,79.33,79.33
Christian,Nielsen,79.29,*,*,*,*,*,*,*,*,*,*,79.29
Brandon,Steiner,*,*,*,*,*,79.11,*,*,*,*,*,79.11
Chris,Defiore,*,*,78.87,*,*,*,*,*,*,*,*,78.87
Charles,O'Connor,*,*,*,*,*,*,78.75,*,*,*,*,78.75
Matt,Decker,*,*,*,*,*,*,*,*,78.70,*,*,78.70
Alex,Steiner,*,*,*,*,*,78.66,*,*,*,*,*,78.66
David,Finegan,*,*,78.65,*,*,*,*,*,*,*,*,78.65
Dominic,Smith,*,*,78.23,*,*,*,*,*,*,*,*,78.23
Adam,Rissolo,*,*,*,*,*,*,77.96,*,*,*,*,77.96
Peter,Faroni,77.95,*,*,*,*,*,*,*,*,*,*,77.95
Matthew,Miller,77.95,*,*,*,*,*,*,*,*,*,*,77.95
Johan,BÖRjeson,*,77.93,*,*,*,*,*,*,*,*,*,77.93
Patrick,Byrne,*,*,*,*,77.21,*,*,*,*,*,*,77.21
Tyler,Marshall,*,*,*,*,*,*,*,*,*,*,76.93,76.93
Ben,Green,*,*,*,*,*,*,*,*,*,*,76.91,76.91
Suresh Kumar,Thangavel,*,*,76.83,*,*,*,*,*,*,*,*,76.83
Joseph,Edelstein,*,*,*,*,76.71,*,*,*,*,*,*,76.71
Eoin,Horning-Kane,*,*,*,*,*,*,*,*,76.62,*,*,76.62
Keith,Donegan,*,76.54,*,*,*,*,*,*,*,*,*,76.54
Jim,Head,76.44,*,*,*,*,*,*,*,*,*,*,76.44
Lee,Carenza,*,*,76.38,*,*,*,*,*,*,*,*,76.38
Nathan,Chmura,*,*,*,*,*,*,*,*,*,*,76.07,76.07
Andy,Asensio,*,*,*,*,*,75.67,*,*,*,*,*,75.67
Adam,Tull,*,*,*,*,*,75.60,*,*,*,*,*,75.60
Ron,Alger,*,*,*,*,*,*,*,75.53,*,*,*,75.53
Jac,Guerra,*,*,*,75.41,*,*,*,*,*,*,*,75.41
David,McGrath,*,*,*,*,75.33,*,*,*,*,*,*,75.33
Ben,Lundin,*,*,*,75.25,*,*,*,*,*,*,*,75.25
Matthew,Piotrowski,*,*,*,75.07,*,*,*,*,*,*,*,75.07
Filip,Nikolic,75.07,*,*,*,*,*,*,*,*,*,*,75.07
Mike,Elser,*,*,74.76,*,*,*,*,*,*,*,*,74.76
John,Rossi,74.75,*,*,*,*,*,*,*,*,*,*,74.75
Kevin,Maguire,*,*,74.70,*,*,*,*,*,*,*,*,74.70
Taylor,Strickland,*,*,74.69,*,*,*,*,*,*,*,*,74.69
Brad,Manning,*,*,74.41,*,*,*,*,*,*,*,*,74.41
Aris,Ristau,*,*,*,74.37,*,*,*,*,*,*,*,74.37
Trey,Waversak,74.06,*,*,*,*,*,*,*,*,*,*,74.06
Louis,Riel,*,*,*,*,*,*,*,*,73.97,*,*,73.97
Carson,Thoreen,73.82,*,*,*,*,*,*,*,*,*,*,73.82
Christian,Dockum,*,*,*,*,*,*,*,*,*,73.72,*,73.72
Randy,Chamberland,73.68,*,*,*,*,*,*,*,*,*,*,73.68
Jordan,Richardson,*,*,*,*,*,*,*,73.61,*,*,*,73.61
Marc,Bovino,*,*,*,*,*,*,*,*,*,*,73.60,73.60
Kyle,Fontaine,73.15,*,*,*,*,*,*,*,*,*,*,73.15
Brian,Mischke,*,*,*,*,73.01,*,*,*,*,*,*,73.01
Joshu,Murray,*,*,*,*,*,*,*,*,*,*,72.98,72.98
Richard,Fernandes,*,*,*,*,*,72.87,*,*,*,*,*,72.87
Charlie,Kaylor,*,72.43,*,*,*,*,*,*,*,*,*,72.43
Brock,Rider,*,*,*,*,*,*,72.25,*,*,*,*,72.25
Bill,Bentley,*,*,72.12,*,*,*,*,*,*,*,*,72.12
Dominic,Campione,71.96,*,*,*,*,*,*,*,*,*,*,71.96
Brian,Czak,71.93,*,*,*,*,*,*,*,*,*,*,71.93
Mike,Patrizz,*,*,*,*,71.88,*,*,*,*,*,*,71.88
Milton,Levin,*,*,71.81,*,*,*,*,*,*,*,*,71.81
