First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
Nima,Zangeneh,*,*,*,56.41,*,*,*,*,*,*,*,56.41
Steven,Fernandes,*,56.33,*,*,*,*,*,*,*,*,*,56.33
Kevin,MacDonald,*,*,*,*,56.12,*,*,*,*,*,*,56.12
Evan,Griffith,*,*,*,56.04,*,*,*,*,*,*,*,56.04
Kevin,Peachman,*,*,*,*,*,*,55.93,*,*,*,*,55.93
Craig,Wallace,*,*,*,*,55.92,*,*,*,*,*,*,55.92
Joseph,Laskey,*,*,*,*,*,*,*,*,*,55.85,*,55.85
Brendan,Arbuckle,*,*,*,55.79,*,*,*,*,*,*,*,55.79
Jonathan,Battle,*,55.69,*,*,*,*,*,*,*,*,*,55.69
Sean,Lowther,*,*,*,*,*,*,*,*,*,55.51,*,55.51
Ken,Isenstein,55.40,*,*,*,*,*,*,*,*,*,*,55.40
Eric,Nigosanti,*,55.40,*,*,*,*,*,*,*,*,*,55.40
Zachary,Perron,55.39,*,*,*,*,*,*,*,*,*,*,55.39
Oscar,Ortega,*,*,*,*,*,*,*,*,*,55.29,*,55.29
Jonathan,Crowe,*,*,*,*,*,*,*,*,*,*,55.27,55.27
Thomas,Zalonski,54.97,*,*,*,*,*,*,*,*,*,*,54.97
Bernard,Kelley,*,*,*,54.97,*,*,*,*,*,*,*,54.97
Tin,LUU,*,*,*,*,*,*,*,*,*,54.55,*,54.55
Gregory,Kaether,54.19,*,*,*,*,*,*,*,*,*,*,54.19
Timothy,Loftus,54.19,*,*,*,*,*,*,*,*,*,*,54.19
Ludovic,Boure,*,*,*,*,*,*,*,*,*,54.13,*,54.13
Albert,Barnes,53.83,*,*,*,*,*,*,*,*,*,*,53.83
Stephen,Servidio,53.76,*,*,*,*,*,*,*,*,*,*,53.76
Paul,Ghelfi,*,*,*,*,*,*,*,*,53.59,*,*,53.59
Lucas,Cruz,*,*,*,*,*,*,*,*,53.47,*,*,53.47
Alex,Sawyer,53.16,*,*,*,*,*,*,*,*,*,*,53.16
Gaston,Razeto,*,*,*,*,*,*,53.05,*,*,*,*,53.05
Dave,Yadach,52.82,*,*,*,*,*,*,*,*,*,*,52.82
Justin,Gill,*,*,*,*,*,*,52.76,*,*,*,*,52.76
Arosha,Jayawickrema,*,*,52.73,*,*,*,*,*,*,*,*,52.73
Daniel,Hare,*,52.65,*,*,*,*,*,*,*,*,*,52.65
John,Odriscoll,*,52.46,*,*,*,*,*,*,*,*,*,52.46
Dennis,Hogan,*,*,*,*,52.46,*,*,*,*,*,*,52.46
Clayton,Dubuc,52.11,*,*,*,*,*,*,*,*,*,*,52.11
Jayzer,Uy,*,*,*,*,*,*,51.75,*,*,*,*,51.75
Peter,Palmer,*,51.74,*,*,*,*,*,*,*,*,*,51.74
Jeffrey,Adair,*,51.67,*,*,*,*,*,*,*,*,*,51.67
David,Dziekan,*,*,51.55,*,*,*,*,*,*,*,*,51.55
Daniel,Danecki,*,51.40,*,*,*,*,*,*,*,*,*,51.40
Peter,Mumola,*,*,*,*,*,*,51.35,*,*,*,*,51.35
Eril,Rodriguez,*,*,*,*,51.24,*,*,*,*,*,*,51.24
Kevin,Pierre,51.10,*,*,*,*,*,*,*,*,*,*,51.10
Gary,Hebert,51.03,*,*,*,*,*,*,*,*,*,*,51.03
Mark,Kern,*,*,*,*,*,*,*,*,*,50.88,*,50.88
Jason,Bacon,*,50.78,*,*,*,*,*,*,*,*,*,50.78
Sean,Tomalty,*,*,*,*,*,*,*,*,50.64,*,*,50.64
Craig,Szymanski,50.60,*,*,*,*,*,*,*,*,*,*,50.60
David,Wade,*,*,*,50.22,*,*,*,*,*,*,*,50.22
Eric,Winn,*,*,50.21,*,*,*,*,*,*,*,*,50.21
Josiah,Spargo,*,*,*,50.09,*,*,*,*,*,*,*,50.09
Leo,Schuchert,*,*,*,*,50.05,*,*,*,*,*,*,50.05
Nicholas,Holland,49.61,*,*,*,*,*,*,*,*,*,*,49.61
John,Benevides,*,*,*,*,*,*,*,*,49.36,*,*,49.36
Geoff,Butland,*,*,*,*,49.23,*,*,*,*,*,*,49.23
Donovan,Snyder,*,48.97,*,*,*,*,*,*,*,*,*,48.97
Gayle,Smith,48.93,*,*,*,*,*,*,*,*,*,*,48.93
Patrick,Cormier,*,*,*,*,*,*,*,*,48.30,*,*,48.30
Andrew,McKenzie,*,*,48.16,*,*,*,*,*,*,*,*,48.16
Peter,Diaz,*,*,*,*,*,*,*,*,*,47.69,*,47.69
Todd,Cleland,*,*,*,*,*,*,*,*,*,47.51,*,47.51
Michael,Pianin,47.47,*,*,*,*,*,*,*,*,*,*,47.47
Christopher,Young,*,*,*,*,*,*,*,*,*,46.83,*,46.83
Stewart,Dutfield,*,*,*,*,*,*,*,*,46.62,*,*,46.62
Frederick,Hawran,*,*,*,*,*,*,*,*,46.62,*,*,46.62
Steve,Ross,*,*,*,45.12,*,*,*,*,*,*,*,45.12
Brenden,Pontz,*,*,*,45.03,*,*,*,*,*,*,*,45.03
Steve,Bracero,*,44.63,*,*,*,*,*,*,*,*,*,44.63
Stephen,O'Donnell,*,*,*,*,*,44.53,*,*,*,*,*,44.53
Jared,Bishop,*,*,*,*,*,*,44.41,*,*,*,*,44.41
John,Haksteen,44.30,*,*,*,*,*,*,*,*,*,*,44.30
Brent,Robertson,44.21,*,*,*,*,*,*,*,*,*,*,44.21
Joseph,Montgomery,*,*,*,*,*,*,43.95,*,*,*,*,43.95
Marc,Weston,*,*,43.89,*,*,*,*,*,*,*,*,43.89
Harry,Hayward,*,43.85,*,*,*,*,*,*,*,*,*,43.85
Michael,Lean,*,*,*,*,42.78,*,*,*,*,*,*,42.78
Michael,Pozika,*,*,*,*,*,*,*,*,*,42.24,*,42.24
Ron,Newkirk,*,*,*,42.05,*,*,*,*,*,*,*,42.05
Marco,Aranzullo,*,*,41.84,*,*,*,*,*,*,*,*,41.84
Roy,Buren,*,*,*,*,*,*,*,*,*,41.27,*,41.27
Anthony,Rivera,*,*,40.53,*,*,*,*,*,*,*,*,40.53
Surendrakum,Thiruma,*,*,*,*,*,38.13,*,*,*,*,*,38.13
Paul,Maillet,*,*,37.18,*,*,*,*,*,*,*,*,37.18
Joseph,Scaglione,36.61,*,*,*,*,*,*,*,*,*,*,36.61
David,Raczkowski,*,*,*,*,*,*,*,*,36.57,*,*,36.57
Michael,Gerwien,*,*,35.26,*,*,*,*,*,*,*,*,35.26
Gary,Smith,*,*,31.64,*,*,*,*,*,*,*,*,31.64
Vincent,Bartolini,*,*,30.93,*,*,*,*,*,*,*,*,30.93
